instanceId	userid	username	Q0 (index)	Q1 (index)	Q2 (index)	Q3 (index)	Q4 (index)	Q5 (index)	Q0 (text)	Q1 (text)	Q2 (text)	Q3 (text)	Q4 (text)	Q5 (text)
7dFrjWJgDe4CvuSY6		Eve	0	1	2	2	0	2	DPNQVUFS	HQPFSG	ONYYRG	SRBDDB	VATNYYXNK	CAESAR
82PbpSzvLk8AJ6Swo		Xavier	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
8tWghFsBXWjLDt6F8		Gloria	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
GYqE83BXBXQdcBZ8D		Paulo	0	1	2	1	0	0	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	IGESGX
KZrnFNem8eHZdmEKy		Dan	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
KbPXJK9KfSWierSau		Maxime François Jan	-1	-1	-1	-1	-1	-1						
MXL6EcEtzXxisGjnm		Valentine	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
Rn3dZwXRGiNNSPz9a		Louis	1	-1	2	2	1	2	DPLOVSFQ		ONYYRG	SRBDDB	VAHNMMXBY	CAESAR
SjBTogCj7pXPJM3sc		Célia	0	1	2	1	0	-1	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	
YW92Gfc5Bm6bvbQvS		cki49ut8j00u001ywa44og07n	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
bDe5TRETuJMZfQpQJ		Milan	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
g5LWw7gt2qZ5a8mLr		LozeR	-1	-1	-1	-1	-1	-1						
htgs6TSCZHFx8QWoA		Jasmine	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
i5yGJuHFLrGb4Aq3c		Fred	1	0	2	2	1	0	DPLOVSFQ	HMPBSC	ONYYRG	SRBDDB	VAHNMMXBY	IGESGX
iLhyKZX7fCZG7E9WH		Johan	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
izS4XW9C3Hsk9i6dZ		Jade Simonet	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
k7j4vTAJsjeSQ6iPs		Iris	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
nDZbh3MADAcsGgdds		Athéna	0	1	2	1	0	0	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	IGESGX
nWrKTmB4Gca7gBJEk		(rOmAIn) crazy frog	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
rFpcxTur59PF4RPob		Jodie	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
wPZsn8Hm8GSG84fBQ		Emilien	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
x8c5AsmKvKeQQuf32		Louane	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
xhixmCGfw5P2EfpXr		Lucien	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
yC8RGNZFekfhHXw7P		Ambre	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
yY6EnA9zsGS76j5h8		Téliau	1	1	2	1	0	0	DPLOVSFQ	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	IGESGX
zk2HouRMvrk4h86Nd		Ines Sabic	0	1	2	1	0	2	DPNQVUFS	HQPFSG	ONYYRG	YRBDJH	VATNYYXNK	CAESAR
